Employee,Employee ID CP,Employee Full Name,Employee First Name,Employee Last Name,Employee User ID,Employee Email Id,Employment Status,Employee Group,Personnel Subarea,Building,Job Family,Job Sub Family,HR Business Sub Group,Function,Sub Function,Function Unit,Local Type,Business Location,Position,Specialization,Supervisor Legal Name
1000011,40170011,Arman Chowdhury,Arman,Chowdhury,BdChowdhuryAr,Arman.Chowdhury@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000012,40170012,Rafi Farooq,Rafi,Farooq,BdFarooqRa,Rafi.Farooq@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000013,40170013,Elita Ferdous,Elita,Ferdous,BdFerdousEl,Elita.Ferdous@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Legal, Compliance & Audit",Regulatory Affairs,Not Assigned,Operations,Technical,Operations Regulatory & Scientific Affai,Office,Not Assigned,Senior Regulatory Affairs Manager,General Regulatory Affairs,Debabrata
1000014,40170014,Omar Hasan,Omar,Hasan,BdHasanOm,Omar.Hasan@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,"Administration, Facilities & Secretarial",Administration & Secretarial,Technical & Production,General Services,Facility&Services Management,Facility Management,Factory,Food Gazipur Factory,Senior Admin Assistant (Level-2),General Office Administration Support,Dewan Tanvir
1000015,40170015,Sakib Sikder,Sakib,Sikder,BdSikderSa,Sakib.Sikder@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Manufacturing,Factory,Food Gazipur Factory,Senior Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000016,40170016,Hasan Sardar,Hasan,Sardar,BdSardarHa,Hasan.Sardar@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Engineering & Science,Engineering,Technical & Production,Operations,Technical,Engineering,Factory,Food Gazipur Factory,Senior Assistant Engineer - Operation,Man. Industrial Optimization Engin.,Aisha Hasan.
1000017,40170017,Nabil Ahmed,Nabil,Ahmed,BdAhmedNa,Nabil.Ahmed@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Engineering & Science,Engineering,Technical & Production,Operations,Technical,Engineering,Factory,Food Gazipur Factory,Senior Assistant Engineer - Mechanical,Repair & Maintenance Engineering,Aisha Hasan.
1000018,40170018,Imran Ferdous,Imran,Ferdous,BdFerdousIm,Imran.Ferdous@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Product Marketing & Management,Nutrition,Medical & Scientific Affairs,Medical & Scientific Affairs,Medical Delegates,Office,Food Dhaka Head Office,Head Of Support Detailing Team,Med. Scientific Liaison(Life Sciences),Aisha Hasan. Hafizul
1000019,40170019,Zara Ferdous,Zara,Ferdous,BdFerdousZa,Zara.Ferdous@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000020,40170020,Karim Sardar,Karim,Sardar,BdSardarKa,Karim.Sardar@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Supply Chain,"Warehousing, Distr & Transportation",Technical & Production,Operations,Supply Chain,Physical Logistics,Factory,Food Gazipur Factory,Warehouse Associate (Level-2),Materials Handling,Rafi Ferdous
1000021,40170021,Aisha Chowdhury,Aisha,Chowdhury,BdChowdhuryAi,Aisha.Chowdhury@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Process Technician,Man. & Production Operations Management,Rafi Ferdous
1000022,40170022,Hasan Ferdous,Hasan,Ferdous,BdFerdousHa,Hasan.Ferdous@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Manufacturing,Factory,Food Gazipur Factory,Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000023,40170023,Imran Rahman,Imran,Rahman,BdRahmanIm,Imran.Rahman@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Process Technician,Man. & Production Operations Management,Rafi Ferdous
1000024,40170024,Imran Naser,Imran,Naser,BdNaserIm,Imran.Naser@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000025,40170025,Lina Hasan,Lina,Hasan,BdHasanLi,Lina.Hasan@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Senior Technical Operator,Man. & Production Operations Management,Rafi Ferdous
1000026,40170026,Aisha Farooq,Aisha,Farooq,BdFarooqAi,Aisha.Farooq@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,"Manufacturing Prod, Processing& Assembly",Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Production Technician,Manufacturing Packaging,Rafi Ferdous
1000027,40170027,Rafi Ferdous,Rafi,Ferdous,BdFerdousRa,Rafi.Ferdous@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Nutrition,Medical & Scientific Affairs,Medical & Scientific Affairs,Medical Delegates,Field Employee,Food Dhaka Head Office,Sr. Regional Sdt Manager,Med Rep Specialty Pract&Phys (Lifesci),Md. Emdadul
1000028,40170028,Sadia Kabir,Sadia,Kabir,BdKabirSa,Sadia.Kabir@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"It, Telecom & Internet",It Applications Development,Finance & Control,Information Technology,Information Technology,Information Technology,Office,Food Dhaka Head Office,Business Relationship Manager & Head Of,General It Applications Development,Gehan Yasith
1000029,40170029,Arman Sikder,Arman,Sikder,BdSikderAr,Arman.Sikder@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Quality Management,Manufacturing/Product Quality,Technical & Production,Operations,Technical,Quality Management,Factory,Food Gazipur Factory,Qa Operation Analyst (Level -4),Manufacturing Quality Assurance,Kashif
1000030,40170030,Omar Talukder,Omar,Talukder,BdTalukderOm,Omar.Talukder@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Manufacturing,Factory,Food Gazipur Factory,Process Technician,Man. & Production Operations Management,Rafi Ferdous
1000031,40170031,Aisha Hossain,Aisha,Hossain,BdHossainAi,Aisha.Hossain@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Process Technician,Man. & Production Operations Management,Rafi Ferdous
1000032,40170032,Rafi Biswas,Rafi,Biswas,BdBiswasRa,Rafi.Biswas@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Senior Technical Operator,Man. & Production Operations Management,Rafi Ferdous
1000033,40170033,Elita Sultana,Elita,Sultana,BdSultanaEl,Elita.Sultana@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Process Technician,Man. & Production Operations Management,Rafi Ferdous
1000034,40170034,Sakib Sheikh,Sakib,Sheikh,BdSheikhSa,Sakib.Sheikh@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Supply Chain,"Warehousing, Distr & Transportation",Technical & Production,Operations,Supply Chain,Supply Chain,Factory,Food Gazipur Factory,Warehouse Executive,Warehouse Management,Sanjit
1000035,40170035,Rahim Shah,Rahim,Shah,BdShahRa,Rahim.Shah@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Senior Production Technician,Man. & Production Operations Management,Rafi Ferdous
1000036,40170036,Zara Miah,Zara,Miah,BdMiahZa,Zara.Miah@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Supply Chain,"Warehousing, Distr & Transportation",Technical & Production,Operations,Supply Chain,Physical Logistics,Factory,Food Gazipur Factory,Mhe Operator (Level-7),Light Truck Delivery Drivers,Sanjit
1000037,40170037,Lina Biswas,Lina,Biswas,BdBiswasLi,Lina.Biswas@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Supply Chain,"Warehousing, Distr & Transportation",Technical & Production,Operations,Supply Chain,Physical Logistics,Factory,Food Gazipur Factory,Mhe Operator (Level-7),Light Truck Delivery Drivers,Sanjit
1000038,40170038,Arman Ahmed,Arman,Ahmed,BdAhmedAr,Arman.Ahmed@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Manufacturing,Factory,Food Gazipur Factory,Process Technician,Man. & Production Operations Management,Rafi Ferdous
1000039,40170039,Hasan Sheikh,Hasan,Sheikh,BdSheikhHa,Hasan.Sheikh@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Manufacturing,Factory,Food Gazipur Factory,Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000040,40170040,Arman Ahmed,Arman,Ahmed,BdAhmedAr,Arman.Ahmed@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Manufacturing,Factory,Food Gazipur Factory,Senior Process Technician,Man. & Production Operations Management,Rafi Ferdous
1000041,40170041,Nadia Sheikh,Nadia,Sheikh,BdSheikhNa,Nadia.Sheikh@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Finance,Financial Control,Technical & Production,Finance & Control,Co-Piloting,Factory Copilot,Factory,Food Gazipur Factory,Factory Controller,Man. Plant Financial Control & Reporting,Rashedul
1000042,40170042,Aisha Hossain,Aisha,Hossain,BdHossainAi,Aisha.Hossain@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Nutrition,Medical & Scientific Affairs,Medical & Scientific Affairs,Medical Delegates,Office,Food Dhaka Head Office,National Field Operations Manager,Med Rep Specialty Pract&Phys (Lifesci),Aisha Hasan. Hafizul
1000043,40170043,Sakib Rahman,Sakib,Rahman,BdRahmanSa,Sakib.Rahman@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,"Administration, Facilities & Secretarial",Administration & Secretarial,Technical & Production,Operations,Technical,Technical,Factory,Food Gazipur Factory,Secretary - Manufacturing Director,Executive Secretarial Support,Rashedul
1000044,40170044,Sadia Miah,Sadia,Miah,BdMiahSa,Sadia.Miah@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,Supply Chain,Supply Chain Leadership,Supply Chain,Operations,Supply Chain,Supply Chain,Office,Food Dhaka Head Office,Director - Supply Chain,Head Of Supply Chain,Deepal
1000045,40170045,Elita Miah,Elita,Miah,BdMiahEl,Elita.Miah@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,Supply Chain,"Warehousing, Distr & Transportation",Supply Chain,Operations,Supply Chain,Physical Logistics,Distribution,Food Gazipur Dc,Manager - Distribution,Warehouse Management,Pervez
1000046,40170046,Maliha Rahman,Maliha,Rahman,BdRahmanMa,Maliha.Rahman@bd.xyz.com,Active,Regular,Dc Gazipur,Bd-Gazipur Distribution Centre,Supply Chain,"Warehousing, Distr & Transportation",Supply Chain,Operations,Supply Chain,Physical Logistics,Distribution,Food Gazipur Dc,Delivery Man,Materials Handling,Tareq
1000047,40170047,Farah Biswas,Farah,Biswas,BdBiswasFa,Farah.Biswas@bd.xyz.com,Active,Regular,Dc Gazipur,Bd-Gazipur Distribution Centre,Supply Chain,"Warehousing, Distr & Transportation",Supply Chain,Operations,Supply Chain,Physical Logistics,Distribution,Food Gazipur Dc,Delivery Man,Materials Handling,Tareq
1000048,40170048,Rafi Islam,Rafi,Islam,BdIslamRa,Rafi.Islam@bd.xyz.com,Active,Regular,Dc Gazipur,Bd-Gazipur Distribution Centre,Supply Chain,"Warehousing, Distr & Transportation",Supply Chain,Operations,Supply Chain,Physical Logistics,Distribution,Food Gazipur Dc,Delivery Man,Materials Handling,Tareq
1000049,40170049,Mahin Ahmed,Mahin,Ahmed,BdAhmedMa,Mahin.Ahmed@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Supply Chain,"Warehousing, Distr & Transportation",Technical & Production,Operations,Supply Chain,Physical Logistics,Factory,Food Gazipur Factory,Mhe Operator (Level-7),Light Truck Delivery Drivers,Sanjit
1000050,40170050,Maliha Miah,Maliha,Miah,BdMiahMa,Maliha.Miah@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Finance,Management Accounting,Technical & Production,Finance & Control,Decision Support,Ds For Factory Copilot,Factory,Food Gazipur Factory,Assistant Factory Controller,Budget Accounting,Babul
1000051,40170051,Mahin Biswas,Mahin,Biswas,BdBiswasMa,Mahin.Biswas@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Sr. Territory Officer,General Field Sales,Md. Zakir
1000052,40170052,Sakib Kabir,Sakib,Kabir,BdKabirSa,Sakib.Kabir@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Finance,Tax,Not Assigned,Finance & Control,Specialist Services,Tax,Factory,Not Assigned,Manager - Indirect Tax,Tax,Babul
1000053,40170053,Rahim Shah,Rahim,Shah,BdShahRa,Rahim.Shah@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Professional,Marketing & Sales,Sales,Field Sales,Office,Food Dhaka Head Office,Manager- Nestlé Professional,General Field Sales,Md.
1000054,40170054,Jannat Hasan,Jannat,Hasan,BdHasanJa,Jannat.Hasan@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Area Sales Manager,General Field Sales,Bazlur
1000055,40170055,Sakib Naser,Sakib,Naser,BdNaserSa,Sakib.Naser@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Sales Operations/Administration,Sales,Marketing & Sales,Sales,Sales,Office,Food Dhaka Head Office,National Sales Operations Manager,General Sales Operations/Administration,Syed Iqbal Mahmud
1000056,40170056,Nabil Kabir,Nabil,Kabir,BdKabirNa,Nabil.Kabir@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Area Sales Manager,General Field Sales,M. A.
1000057,40170057,Sakib Miah,Sakib,Miah,BdMiahSa,Sakib.Miah@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Sr. Territory Officer,General Field Sales,Md. Rayhan
1000058,40170058,Omar Ferdous,Omar,Ferdous,BdFerdousOm,Omar.Ferdous@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Nutrition,Medical & Scientific Affairs,Medical & Scientific Affairs,Medical Delegates,Field Employee,Food Dhaka Head Office,Area Nutrition Officer,Med Rep Specialty Pract&Phys (Lifesci),Md. Sharuar
1000059,40170059,Elita Miah,Elita,Miah,BdMiahEl,Elita.Miah@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Sr. Territory Officer,General Field Sales,Md. Khairul Alam
1000060,40170060,Lina Kabir,Lina,Kabir,BdKabirLi,Lina.Kabir@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Sr. Territory Officer,General Field Sales,Mohammad
1000061,40170061,Zara Sikder,Zara,Sikder,BdSikderZa,Zara.Sikder@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Sr. Area Sales Manager,General Field Sales,Bazlur
1000062,40170062,Nadia Naser,Nadia,Naser,BdNaserNa,Nadia.Naser@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Manager - Rd & Community Based Sales,General Field Sales,Md. Arifur
1000063,40170063,Sadia Kabir,Sadia,Kabir,BdKabirSa,Sadia.Kabir@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Nutrition,Medical & Scientific Affairs,Medical & Scientific Affairs,Medical Delegates,Field Employee,Food Dhaka Head Office,Sr. Key Institution Area Nutrition Offic,Med Rep Specialty Pract&Phys (Lifesci),Md.
1000064,40170064,Jannat Sikder,Jannat,Sikder,BdSikderJa,Jannat.Sikder@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Not Assigned,Marketing & Sales,Sales,Field Sales,Field Employee,Not Assigned,Senior Territory Officer,General Field Sales,Tasnim
1000065,40170065,Zara Naser,Zara,Naser,BdNaserZa,Zara.Naser@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Nutrition,Medical & Scientific Affairs,Medical & Scientific Affairs,Medical Delegates,Field Employee,Food Dhaka Head Office,Area Nutrition Manager,Med Rep Specialty Pract&Phys (Lifesci),Mm
1000066,40170066,Imran Khan,Imran,Khan,BdKhanIm,Imran.Khan@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Manufacturing,Factory,Food Gazipur Factory,Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000067,40170067,Rahim Hossain,Rahim,Hossain,BdHossainRa,Rahim.Hossain@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Manufacturing,Factory,Food Gazipur Factory,Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000068,40170068,Sakib Miah,Sakib,Miah,BdMiahSa,Sakib.Miah@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,Supply Chain,Procurement,Procurement,Operations,Procurement,Procurement,Office,Food Dhaka Head Office,Head Of Procurement,Procurement,Pervez
1000069,40170069,Mahin Shah,Mahin,Shah,BdShahMa,Mahin.Shah@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Nutrition,Medical & Scientific Affairs,Medical & Scientific Affairs,Medical Delegates,Field Employee,Food Dhaka Head Office,Sr. Area Nutrition Officer,Med Rep Specialty Pract&Phys (Lifesci),S.M. Monjur
1000070,40170070,Jannat Hasan,Jannat,Hasan,BdHasanJa,Jannat.Hasan@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Manager - Rural Development,General Field Sales,Md. Arifur
1000071,40170071,Jannat Shah,Jannat,Shah,BdShahJa,Jannat.Shah@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Account & Client Management,Not Assigned,Marketing & Sales,Sales,Customer Management,Field Employee,Not Assigned,Sales Excellence Manager,Account Management/Key Accounts,Mehboob
1000072,40170072,Sadia Islam,Sadia,Islam,BdIslamSa,Sadia.Islam@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Sr. Area Sales Manager,General Field Sales,Shahriar Mahmood
1000073,40170073,Rafi Ferdous,Rafi,Ferdous,BdFerdousRa,Rafi.Ferdous@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Sr. Area Sales Manager,General Field Sales,Sabbir
1000074,40170074,Omar Farooq,Omar,Farooq,BdFarooqOm,Omar.Farooq@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Area Sales Manager,General Field Sales,Sabbir
1000075,40170075,Karim Khan,Karim,Khan,BdKhanKa,Karim.Khan@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Sr. Area Sales Manager,General Field Sales,Md. Mashiur
1000076,40170076,Hasan Shah,Hasan,Shah,BdShahHa,Hasan.Shah@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Sr. Area Sales Manager,General Field Sales,Tanvir
1000077,40170077,Hasan Rahman,Hasan,Rahman,BdRahmanHa,Hasan.Rahman@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Administration, Facilities & Secretarial",Administration & Secretarial,Human Resources,General Services,Facility&Services Management,Facility Management,Office,Food Dhaka Head Office,General Service Staff,Office/Mailroom/Clerical Support,Mohammed Sayemul
1000078,40170078,Imran Hasan,Imran,Hasan,BdHasanIm,Imran.Hasan@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,"Sales, Marketing & Product Management",Field Sales & Account Management,Sales,Marketing & Sales,Sales,Field Sales,Field Employee,Food Dhaka Head Office,Sr. Territory Officer,General Field Sales,Md. Ferdous
